,ClusterEVEpiOverlap,ClusterEVEpiReads,EVE-ClusterOverlap,EVEfamilies,EVEhits,clusterEVEcoverage,piClust_piSites,piClust_reads,piTotal
101,0,0,0,0,0,0.0,465,2620,7501456
102,0,0,0,0,0,0.0,202,7458,7501456
103,0,0,0,0,0,0.0,45,52,7501456
104,0,0,0,0,0,0.0,38,69,7501456
105,0,0,0,0,0,0.0,43,76,7501456
106,0,0,0,0,0,0.0,183,1400,7501456
107,0,0,0,0,0,0.0,189,4884,7501456
108,22,81,1218,1,1,0.09656703401252675,231,783,7501456
109,0,0,0,0,0,0.0,193,2576,7501456
110,0,0,0,0,0,0.0,167,1295,7501456
111,0,0,0,0,0,0.0,150,13753,7501456
112,0,0,0,0,0,0.0,154,1008,7501456
113,0,0,0,0,0,0.0,56,107,7501456
114,0,0,0,0,0,0.0,57,102,7501456
115,0,0,0,0,0,0.0,220,2645,7501456
116,0,0,0,0,0,0.0,402,3761,7501456
117,0,0,0,0,0,0.0,38,59,7501456
118,0,0,0,0,0,0.0,1072,10965,7501456
119,0,0,0,0,0,0.0,159,2106,7501456
120,0,0,0,0,0,0.0,2070,39688,7501456
121,0,0,0,0,0,0.0,149,1083,7501456
122,0,0,0,0,0,0.0,48,73,7501456
123,0,0,0,0,0,0.0,47,80,7501456
124,0,0,0,0,0,0.0,226,1592,7501456
125,118,2956,486,1,1,0.025601854290681136,1242,7611,7501456
126,0,0,0,0,0,0.0,603,1763,7501456
127,0,0,0,0,0,0.0,1163,22876,7501456
128,1376,4925,11667,4,9,0.16427535517663788,8720,74787,7501456
129,0,0,0,0,0,0.0,535,1410,7501456
130,428,2867,2094,1,2,0.026697946017620135,15137,512739,7501456
131,27,41,1967,1,1,0.1453484075962462,184,399,7501456
132,0,0,0,0,0,0.0,77,767,7501456
133,76,120,2883,2,2,0.15982038915682686,430,1404,7501456
134,0,0,0,0,0,0.0,77,142,7501456
135,0,0,0,0,0,0.0,171,2722,7501456
136,0,0,0,0,0,0.0,19,1834,7501456
137,0,0,0,0,0,0.0,47,77,7501456
138,0,0,0,0,0,0.0,166,2235,7501456
139,0,0,0,0,0,0.0,45,66,7501456
140,0,0,0,0,0,0.0,138,1654,7501456
141,0,0,0,0,0,0.0,580,11855,7501456
142,0,0,0,0,0,0.0,255,1075,7501456
143,0,0,0,0,0,0.0,198,2277,7501456
144,0,0,0,0,0,0.0,151,1393,7501456
145,0,0,0,0,0,0.0,421,2873,7501456
146,0,0,0,0,0,0.0,55,85,7501456
147,0,0,0,0,0,0.0,71,128,7501456
148,0,0,0,0,0,0.0,831,9261,7501456
149,0,0,0,0,0,0.0,35,98,7501456
150,0,0,0,0,0,0.0,341,2235,7501456
151,0,0,0,0,0,0.0,38,122,7501456
152,0,0,0,0,0,0.0,26,31,7501456
153,0,0,0,0,0,0.0,52,75,7501456
154,0,0,0,0,0,0.0,167,5035,7501456
155,0,0,0,0,0,0.0,369,1832,7501456
156,0,0,0,0,0,0.0,183,1508,7501456
157,0,0,0,0,0,0.0,79,64233,7501456
158,0,0,0,0,0,0.0,402,3316,7501456
159,0,0,0,0,0,0.0,128,1110,7501456
160,0,0,0,0,0,0.0,538,2538,7501456
161,0,0,0,0,0,0.0,51,74,7501456
162,0,0,0,0,0,0.0,92,494,7501456
163,0,0,0,0,0,0.0,109,1620,7501456
164,0,0,0,0,0,0.0,158,935,7501456
165,0,0,0,0,0,0.0,283,2824,7501456
166,0,0,0,0,0,0.0,1072,15892,7501456
167,0,0,0,0,0,0.0,136,175,7501456
168,0,0,0,0,0,0.0,511,2792,7501456
169,0,0,0,0,0,0.0,338,2920,7501456
170,0,0,0,0,0,0.0,13,50,7501456
171,2462,17737,13885,4,16,0.15262938046871566,11996,170733,7501456
172,0,0,0,0,0,0.0,2749,41339,7501456
173,0,0,0,0,0,0.0,1132,6847,7501456
174,0,0,0,0,0,0.0,55,88,7501456
175,0,0,0,0,0,0.0,775,2523,7501456
176,0,0,0,0,0,0.0,879,5418,7501456
177,29,63,1974,1,1,0.2509534706331045,67,229,7501456
178,0,0,0,0,0,0.0,75,160,7501456
179,0,0,0,0,0,0.0,53,108,7501456
180,0,0,0,0,0,0.0,143,7043,7501456
181,0,0,0,0,0,0.0,53,150,7501456
182,0,0,0,0,0,0.0,2773,13472,7501456
183,118,1120,309,1,1,0.03504593399115345,458,3107,7501456
184,675,2971,3249,1,4,0.11621834311060238,2880,19951,7501456
185,0,0,0,0,0,0.0,43,54,7501456
186,0,0,0,0,0,0.0,45,214,7501456
187,4307,81500,22861,1,17,0.158828637926842,19157,287316,7501456
188,0,0,0,0,0,0.0,575,1905,7501456
189,0,0,0,0,0,0.0,25,4376,7501456
190,0,0,0,0,0,0.0,48,75,7501456
191,0,0,0,0,0,0.0,64,392,7501456
192,0,0,0,0,0,0.0,144,248,7501456
193,0,0,0,0,0,0.0,276,2820,7501456
194,0,0,0,0,0,0.0,151,2655,7501456
195,0,0,0,0,0,0.0,295,3559,7501456
196,0,0,0,0,0,0.0,211,2318,7501456
197,0,0,0,0,0,0.0,398,2238,7501456
198,129,3251,486,1,1,0.022136187656570258,1197,7844,7501456
199,0,0,0,0,0,0.0,753,5713,7501456
200,0,0,0,0,0,0.0,177,2619,7501456
201,0,0,0,0,0,0.0,56,155,7501456
202,0,0,0,0,0,0.0,156,1781,7501456
203,0,0,0,0,0,0.0,138,987,7501456
204,0,0,0,0,0,0.0,247,2226,7501456
